#timestamp,left_gaze_x,left_gaze_y,left_position_x,left_position_y,left_position_z,left_pupil,right_gaze_x,right_gaze_y,right_position_x,right_position_y,right_position_z,right_pupil,click_count
1467879538.059705,1721.467718,1114.556187,-53.906750,-25.258043,490.401618,2.804135,1874.519038,1054.866911,2.374613,-27.104380,550.303872,3.066583,2
1467879538.076576,1725.305060,1126.114535,-53.773415,-25.381715,492.296489,2.811426,1834.904316,1021.854415,2.757298,-27.387385,553.254030,3.091625,2
1467879538.093109,1728.772245,1125.174328,-53.437566,-25.455937,492.984663,2.812925,1869.018522,1054.216862,3.154650,-27.578030,555.453167,3.122565,2
1467879538.109685,1721.512779,1126.767792,-53.013127,-25.566936,493.074789,2.816813,1806.621494,1048.127475,3.562295,-27.437039,549.429763,3.152610,2
1467879538.126295,1733.260980,1122.657230,-53.047929,-25.788122,496.704937,2.817663,1815.796385,1053.645998,3.959261,-27.652019,552.220207,3.180601,2
1467879538.143048,1736.856367,1118.003556,-52.718048,-25.648096,496.820456,2.823422,1833.963706,1039.525850,4.234831,-27.693093,556.281032,3.186417,2
1467879538.159717,1736.182111,1125.322102,-52.322760,-25.315057,495.825282,2.824593,1826.246560,1041.442414,4.407002,-27.425397,555.761735,3.199238,2
1467879538.176390,1735.533718,1133.706890,-52.132518,-25.245386,495.675094,2.830623,1841.008087,1035.467527,4.507821,-27.572869,560.995462,3.221686,2
1467879538.193068,1736.458045,1130.684081,-52.144378,-25.405838,496.563914,2.828117,1834.731992,1032.404795,4.485411,-27.597186,559.947290,3.241515,2
1467879538.209685,1836.674206,1126.401776,-52.665420,-25.919973,502.976473,2.836766,1876.450596,1043.519250,4.560463,-27.704772,560.520343,3.245443,2
1467879538.226376,1828.793204,1124.708730,-53.136400,-26.217055,507.638611,2.850106,1854.741876,1042.799077,4.380939,-27.449920,556.167492,3.254738,2
1467879538.242925,1776.857850,1136.634406,-52.415367,-25.945614,501.339137,2.851162,1864.877337,1044.009045,4.312683,-27.763248,561.735680,3.263037,2
1467879538.259701,1782.896416,1139.541429,-52.434908,-26.155189,501.394825,2.848355,1873.017108,1044.515258,4.096675,-27.833950,559.901859,3.287848,2
1467879538.276345,1763.168486,1140.225168,-52.465820,-26.238200,501.477994,2.845049,1844.087018,1047.897212,3.880067,-27.810166,559.483136,3.285024,2
1467879538.292996,1772.321815,1142.112318,-52.779464,-26.227945,503.964752,2.844043,1831.607836,1043.964987,3.666028,-27.580985,558.969225,3.280616,2
1467879538.309569,1765.476713,1145.112477,-52.785910,-25.973468,503.851524,2.847412,1828.239076,1048.253032,3.461920,-27.123662,556.067279,3.278198,2
1467879538.326452,1772.907895,1140.957660,-52.936972,-25.912683,505.256617,2.844668,1825.069293,1060.314554,3.318169,-26.949438,555.370255,3.288875,2
1467879538.342935,1780.337555,1145.381220,-53.063865,-25.973610,506.810183,2.848800,1828.486662,1070.881533,3.259420,-26.977613,556.573770,3.289778,2
1467879538.359756,1773.780892,1147.157603,-52.871439,-25.930280,505.584483,2.857106,1828.156814,1061.240347,3.229546,-27.323281,561.718593,3.294280,2
1467879538.376499,1776.453969,1149.339594,-53.001175,-26.141991,507.855718,2.858343,1831.291263,1049.110828,3.243927,-27.649542,564.630493,3.292604,2
1467879538.392971,1770.965394,1149.584452,-52.687868,-26.165705,506.565472,2.852934,1833.384914,1050.800401,3.327347,-27.886856,565.945797,3.295778,2
1467879538.409620,1809.540229,1145.154038,-54.171962,-27.273853,521.575113,2.866533,1829.040876,1049.407966,3.393917,-28.276863,566.951754,3.303292,2
1467879538.426279,1832.274325,1138.193337,-54.286827,-27.694807,524.104312,2.885488,1874.776318,1044.718540,3.470569,-28.804454,570.447307,3.308668,2
1467879538.443077,1852.532249,1125.642886,-54.557552,-27.924765,527.230609,2.895223,1837.259316,1048.936443,3.421296,-28.925711,570.473646,3.309293,2
1467879538.459757,1863.126864,1118.714115,-55.090457,-28.081092,532.043148,2.907933,1867.294790,1042.996784,3.369533,-28.961526,572.451498,3.313174,2
1467879538.476494,1767.618720,1140.679752,-53.069695,-26.868621,512.650557,2.896155,1834.491398,1046.167960,3.190927,-28.836095,573.005994,3.314574,2
1467879538.493156,1772.921042,1141.100742,-53.500666,-26.924955,515.939433,2.882607,1843.384604,1062.203058,3.020044,-28.774099,573.512069,3.327490,2
1467879538.509819,1760.135981,1148.822828,-53.258924,-26.748685,512.573636,2.882750,1841.374833,1046.548801,2.814017,-28.581188,570.323712,3.332972,2
1467879538.526363,1770.874273,1128.024307,-53.952873,-27.095647,518.719997,2.875329,1850.396620,1044.463499,2.708842,-28.803222,575.041007,3.334807,2
1467879538.543103,1770.754524,1139.319216,-53.893991,-27.174952,518.072117,2.876834,1849.065199,1046.240069,2.610640,-28.863367,575.051454,3.335769,2
1467879538.559739,1767.682196,1135.388213,-53.989635,-27.353597,518.892026,2.873457,1861.738018,1049.369177,2.585304,-29.025165,576.563848,3.342911,2
1467879538.576325,1767.709967,1133.361285,-54.016531,-27.509016,518.978874,2.874058,1851.282604,1048.560358,2.518492,-29.115311,576.158033,3.341089,2
1467879538.593183,1769.888061,1139.713594,-54.131967,-27.644555,519.468810,2.879129,1852.353325,1051.168860,2.433501,-29.237842,576.810754,3.347035,2
1467879538.609640,1768.661736,1137.714877,-54.328800,-27.731877,520.728092,2.881810,1847.629218,1050.219777,2.328233,-29.312150,578.121190,3.347351,2
1467879538.626362,1773.959520,1137.829845,-54.550677,-27.721481,522.393560,2.883325,1845.986002,1051.912494,2.234620,-29.153474,577.878977,3.347211,2
1467879538.642986,1768.122433,1143.149966,-54.226014,-27.409077,518.872333,2.872494,1841.844626,1052.865641,2.176184,-28.997724,577.822239,3.349528,2
1467879538.659652,1764.187111,1141.484689,-54.191075,-27.310489,518.349610,2.872505,1844.612456,1054.756286,2.104899,-28.931686,577.897476,3.338008,2
1467879538.676372,1763.399192,1139.053260,-54.118509,-27.246401,517.631461,2.868876,1850.844099,1053.079329,2.084761,-28.903893,577.484432,3.334675,2
1467879538.693049,1765.606366,1135.464639,-54.159155,-27.351704,517.995045,2.867140,1846.007594,1054.197347,2.103948,-28.946463,577.076615,3.336196,2
1467879538.709676,1766.472589,1139.272701,-54.100966,-27.507855,518.030386,2.862476,1842.269172,1055.714285,2.170151,-29.147055,577.198749,3.337643,2
1467879538.726458,1765.229538,1138.462839,-54.032758,-27.743532,518.321467,2.858623,1839.199595,1053.721074,2.274957,-29.427941,577.488381,3.345679,2
1467879538.742918,1767.411362,1139.897812,-53.956085,-27.975816,518.906743,2.859999,1836.006940,1051.186678,2.432657,-29.688318,577.724172,3.345502,2
1467879538.759525,1768.371389,1138.082269,-53.877484,-28.130911,519.236577,2.869493,1838.164268,1050.405627,2.561404,-29.844099,577.535115,3.348883,2
1467879538.776382,1773.752169,1137.961528,-53.860405,-28.138514,519.922550,2.866654,1834.340415,1042.982061,2.656388,-29.845406,577.813270,3.358044,2
1467879538.792988,1771.449391,1137.742972,-53.808776,-27.891077,519.918549,2.876094,1837.911688,1049.254962,2.725538,-29.621574,577.394761,3.349470,2
1467879538.809765,1766.668321,1136.827630,-53.740410,-27.618373,519.903024,2.884792,1850.354995,1048.052399,2.806977,-29.350811,577.642685,3.347238,2
1467879538.826373,1771.004848,1133.447007,-53.645186,-27.444878,519.990306,2.880079,1837.910074,1050.220661,2.895918,-29.164445,577.263021,3.350809,2
1467879538.843175,1771.515979,1132.774562,-53.563330,-27.395547,520.551813,2.873065,1839.623644,1042.057939,3.063197,-29.134087,577.262159,3.342918,2
1467879538.859790,1774.951371,1135.949336,-53.423519,-27.413977,520.871843,2.870066,1828.397097,1051.613467,3.220741,-29.132344,576.649504,3.343985,2
1467879538.876319,1773.665790,1137.800560,-53.273083,-27.454762,520.914275,2.867207,1833.530544,1043.003948,3.398296,-29.271051,576.959023,3.342474,2
1467879538.893228,1775.350524,1139.483565,-53.159654,-27.581139,520.861356,2.867275,1838.976027,1041.675429,3.528204,-29.472988,577.272526,3.327862,2
1467879538.909740,1772.300480,1140.117935,-53.042183,-27.704280,520.347362,2.871133,1842.614844,1034.884001,3.611766,-29.703548,577.974807,3.331501,2
1467879538.926433,1773.188662,1136.365030,-53.076400,-27.762901,521.150991,2.880584,1845.265039,1042.647995,3.656611,-29.765670,578.369992,3.335293,2
1467879538.942925,1770.913238,1137.564466,-53.062537,-27.641874,521.418877,2.879193,1844.557286,1046.159014,3.717830,-29.665457,578.981336,3.345487,2
1467879538.959680,1772.076931,1137.640119,-53.027425,-27.481879,521.778342,2.882955,1855.198103,1047.717792,3.813511,-29.591952,581.139234,3.338391,2
1467879538.976457,1772.776224,1138.017381,-52.970334,-27.331698,521.956911,2.879390,1856.885656,1042.345672,3.890312,-29.442981,581.240084,3.351054,2
1467879538.992994,1772.995708,1141.683333,-52.945250,-27.208955,522.299676,2.879310,1850.122713,1041.321752,3.952138,-29.342664,581.933346,3.368088,2
1467879539.009735,1772.042168,1139.798285,-52.923810,-27.134206,522.396737,2.879695,1853.006098,1042.097575,3.998348,-29.298491,582.663011,3.376914,2
1467879539.026419,1771.762663,1141.137873,-52.933823,-27.210196,522.641971,2.885578,1856.549245,1028.804672,4.030081,-29.376485,582.813383,3.368156,2
1467879539.042929,1770.353760,1139.546374,-52.993388,-27.424727,523.325043,2.882553,1856.967571,1034.484324,4.032307,-29.548628,582.345817,3.372240,2
1467879539.059781,1770.847971,1140.240198,-53.054378,-27.635634,523.912908,2.877681,1856.862818,1039.864522,4.036167,-29.789837,582.875918,3.362791,2
1467879539.076303,1776.390687,1140.285114,-53.005310,-27.712835,523.869913,2.882899,1873.544335,1037.156699,4.103535,-29.925583,583.396450,3.357472,2
1467879539.092893,1788.084498,1138.857459,-52.956531,-27.704465,523.935176,2.885807,1919.449719,1033.717787,4.116466,-29.899801,583.101535,3.352364,2
1467879539.109427,1781.025908,1137.629095,-52.994458,-27.623260,524.065458,2.888977,1884.084187,1035.310675,4.066557,-29.743081,581.768586,3.355930,2
1467879539.126054,1802.009731,1139.623615,-53.029401,-27.520410,524.299314,2.885643,1918.867664,1041.540287,4.074836,-29.612192,581.590565,3.357039,2
1467879539.142629,1798.642292,1139.103928,-53.077151,-27.432885,524.432003,2.887561,1904.337015,1034.644415,4.039959,-29.518651,581.500967,3.345026,2
1467879539.159278,1802.298235,1138.339707,-53.150436,-27.368018,524.822827,2.882927,1910.047193,1038.009706,4.029347,-29.412961,581.522135,3.347101,2
1467879539.175955,1815.990742,1139.337741,-53.206690,-27.341824,525.370595,2.879628,1893.007743,1043.313954,4.020332,-29.326996,580.561331,3.341378,2
1467879539.192582,1812.794665,1139.982200,-53.214511,-27.385373,525.385653,2.878170,1905.644513,1042.626811,4.040832,-29.356392,580.028505,3.336954,2
1467879539.209267,1818.332940,1139.234909,-53.224411,-27.533117,525.410681,2.881597,1899.950815,1045.056681,4.025598,-29.459512,578.613067,3.335296,2
1467879539.225949,1825.320803,1138.623854,-53.253940,-27.696787,525.628825,2.879813,1899.630372,1040.301775,4.013302,-29.625756,578.430157,3.333817,2
1467879539.242617,1823.143959,1139.477590,-53.199401,-27.716552,525.131652,2.879096,1900.951977,1048.948775,4.009097,-29.703559,578.517175,3.338317,2
1467879539.259256,1820.362405,1138.639816,-53.172626,-27.642236,524.899541,2.883232,1900.767040,1050.911281,4.035408,-29.652081,578.588635,3.333546,2
1467879539.275918,1822.672735,1137.564082,-53.146454,-27.560532,524.921346,2.884718,1903.252031,1049.861503,4.101861,-29.614632,579.204787,3.332985,2
1467879539.292571,1828.018044,1138.123663,-53.131538,-27.447012,525.079009,2.878024,1897.921181,1050.331801,4.124544,-29.508620,579.013983,3.330933,2
1467879539.309310,1887.549641,1127.836092,-54.282285,-27.971624,535.824457,2.891493,1901.858334,1047.014144,4.176910,-29.436056,579.694017,3.342688,2
1467879539.325991,1819.967572,1134.760827,-52.857907,-27.148350,522.817892,2.886799,1893.338394,1043.925029,4.166251,-29.337675,579.293748,3.344183,2
1467879539.342556,1886.010427,1134.023083,-54.004563,-27.723034,533.091169,2.891892,1897.548640,1052.578854,4.155651,-29.350368,579.911394,3.343914,2
1467879539.359177,1899.439496,1117.081744,-54.641908,-28.140528,539.059663,2.911477,1905.282607,1047.164131,4.155688,-29.523224,581.103129,3.340997,2
1467879539.375866,1829.422238,1130.250232,-52.984404,-27.497238,523.567851,2.903201,1900.191358,1044.604529,4.154351,-29.709474,580.663921,3.355466,2
1467879539.392527,1824.239878,1127.475387,-52.875249,-27.610658,522.921551,2.897811,1896.514119,1052.989264,4.214070,-29.854511,579.374840,3.364483,2
1467879539.409165,1824.691751,1133.198305,-52.835042,-27.716348,523.215155,2.896631,1894.231640,1050.212416,4.278049,-29.978387,579.382186,3.369765,2
1467879539.425885,1754.265810,1132.483615,-52.698776,-27.607408,521.329029,2.898937,1874.751454,1054.270274,4.240841,-29.942545,578.759715,3.370532,2
1467879539.442559,1792.596524,1135.851885,-52.639220,-27.530386,520.799535,2.896834,1868.625583,1053.502663,4.235907,-29.915835,579.278135,3.378632,2
1467879539.459180,1763.020183,1133.548149,-52.633127,-27.453050,520.430472,2.898243,1859.385224,1051.470280,4.197355,-29.831755,578.987909,3.385032,2
1467879539.475840,1760.823062,1135.176089,-52.706842,-27.407394,520.689254,2.906940,1839.082809,1049.913065,4.137224,-29.793313,579.404066,3.396096,2
1467879539.492510,1759.690823,1137.174834,-52.639274,-27.314479,519.527303,2.904340,1838.663818,1051.414084,4.103189,-29.808585,580.311110,3.402353,2
1467879539.509113,1758.748520,1137.330195,-52.596489,-27.304314,518.871137,2.896661,1841.744646,1051.306007,4.099112,-29.889736,581.184139,3.399413,2
1467879539.525903,1757.477380,1141.163865,-52.529164,-27.398211,518.234777,2.898947,1835.200426,1048.654894,4.100759,-30.053173,581.405294,3.420964,2
1467879539.542496,1849.778476,1127.914812,-55.048333,-28.913438,542.152577,2.913568,1834.967620,1052.940297,4.118951,-30.253599,581.389312,3.421080,2
1467879539.559102,1879.339750,1136.306803,-54.903621,-29.033440,541.075290,2.930227,1831.441177,1055.111137,4.130292,-30.354707,579.861475,3.430450,2
1467879539.575850,1880.115548,1129.338462,-54.948604,-29.135149,541.476464,2.948350,1825.726155,1057.744886,4.100456,-30.379309,579.256001,3.444804,2
1467879539.592438,1753.049838,1135.426769,-52.464287,-27.828153,517.365062,2.939341,1826.100329,1067.853641,4.062063,-30.329797,578.225601,3.432382,2
1467879539.609113,1767.474757,1138.403223,-52.976547,-27.997875,521.536759,2.945873,1817.101703,1061.846588,4.001442,-30.279844,578.189485,3.439489,2
1467879539.625784,1758.674075,1138.323350,-52.655264,-27.757068,518.161397,2.935116,1822.860813,1067.741034,3.937714,-30.195568,577.955387,3.448815,2
1467879539.642424,1766.095757,1140.236753,-52.794069,-27.752936,518.610753,2.930019,1822.669363,1069.999122,3.845310,-30.192133,578.568357,3.447068,2
1467879539.659139,1760.156845,1138.807111,-52.735114,-27.686176,517.555836,2.922348,1816.613727,1064.627894,3.739380,-30.135418,577.623800,3.459647,2
1467879539.675751,1751.799792,1141.499868,-52.696498,-27.737077,516.688973,2.910813,1824.549346,1064.856555,3.692598,-30.244673,577.998581,3.449275,2
1467879539.692416,1750.578274,1141.789845,-52.627600,-27.820213,515.761134,2.904802,1822.446864,1067.442849,3.679676,-30.369092,577.152908,3.448544,2
1467879539.709129,1752.601642,1139.906605,-52.563698,-27.957682,515.235791,2.901489,1826.474722,1070.414575,3.698038,-30.528215,577.119636,3.445201,2
1467879539.725743,1749.274518,1145.096811,-52.502750,-28.088513,514.933295,2.894384,1823.990590,1060.055564,3.737917,-30.639361,576.169611,3.448430,2
1467879539.742395,1798.348476,1146.641410,-52.635325,-28.330662,517.483311,2.891556,1838.073916,1055.717501,3.904094,-30.730679,575.932373,3.430772,2
1467879539.759094,1762.294488,1147.459447,-52.380176,-28.207199,515.355190,2.883875,1889.384861,1047.937881,3.959145,-30.858951,577.852420,3.436194,2
1467879539.775810,1771.987896,1146.703966,-52.385975,-28.160309,515.328119,2.882638,1857.029082,1057.165709,3.921577,-30.786239,577.138539,3.427946,2
1467879539.792377,1761.127290,1146.889513,-52.361353,-28.011357,514.795885,2.877030,1851.838976,1049.107630,3.909255,-30.679686,577.254757,3.432249,2
1467879539.809038,1765.026391,1143.856269,-52.471721,-27.948337,515.650958,2.882426,1864.231279,1049.115870,3.930552,-30.604555,577.963813,3.433162,2
1467879539.825689,1768.879976,1147.011799,-52.450885,-27.863879,515.509318,2.878671,1866.852521,1051.531476,3.961127,-30.576238,578.653427,3.425172,2
1467879539.842325,1780.383148,1146.654683,-52.502738,-27.921436,516.304950,2.880910,1866.526033,1050.493766,4.027652,-30.591648,578.085174,3.418514,2
1467879539.858990,1784.743562,1148.423938,-52.462483,-28.042999,516.538679,2.880794,1876.205181,1052.388146,4.129295,-30.783394,579.186374,3.408033,2
1467879539.875692,1785.309711,1150.158588,-52.463094,-28.178345,516.917861,2.880299,1872.454018,1048.153321,4.175517,-30.921884,578.609713,3.406430,2
1467879539.892333,1788.164161,1152.179229,-52.481180,-28.277118,517.369048,2.879026,1877.474634,1045.438762,4.223406,-31.031475,577.958304,3.414391,2
1467879539.908988,1791.654691,1152.966281,-52.484499,-28.348991,517.661785,2.896504,1881.665595,1045.096476,4.253596,-31.100517,576.693697,3.408709,2
1467879539.925788,1792.173415,1157.132259,-52.446890,-28.379131,517.881227,2.889202,1876.394382,1051.852634,4.301747,-31.020899,573.634649,3.406327,2
1467879539.942309,1840.986479,1144.634941,-53.326390,-28.870203,526.576578,2.905693,1874.066009,1052.380538,4.444026,-31.155652,575.597974,3.405618,2
1467879539.959003,1840.637495,1146.877403,-53.698727,-29.015144,531.322225,2.919314,1876.649195,1053.291958,4.605658,-31.207850,577.607175,3.405763,2
