participant,answer,confidence,std_temp,slope_temp,std_pupil,slope_pupil,mean_fixation_duration,std_fixation_duration,mean_saccade_length,std_saccade_length
P10,0,60,0.08501947556,0.00675579430962,0.133378628164,-0.00131326972181,0.587293486842,0.259407945757,183.205727573,164.868706025
P10,0,40,nan,nan,0.142408895843,-0.00151688655697,0.585529924138,0.352467915092,161.794571563,142.748067568
P11,0,60,0.18203685726,0.00662143762274,0.116438863206,-0.00103703506456,0.519253160494,0.325216098175,193.352836533,194.84720025
P11,0,60,0.0517051979979,0.00937859225678,0.125258697744,-0.00733035706891,0.532267230769,0.338194128438,131.307183533,123.07060972
P11,0,60,0.0325779421396,0.00907416157282,0.0728186357749,0.00181716329185,0.558094818182,0.237820385215,170.824040863,145.914861564
P11,0,60,0.0477471715135,0.00926565234352,0.0787717860818,-0.00248779851696,0.592894793103,0.431764939608,159.874630154,137.291384445
P11,0,60,0.0300670033651,0.00893966332084,0.0670021924981,-0.0108339141238,0.81363425,0.605712147388,92.5309786423,36.190426116
P11,0,60,0.0361810263352,0.00666923062801,0.0851873682608,0.0159490945341,0.643545166667,0.454444392254,135.630569055,109.68038324
P11,0,60,nan,nan,0.103535212482,-0.00247029783231,0.601975433962,0.3508996176,148.046968782,115.406513854
P11,0,60,nan,nan,0.0653017855554,-0.00432567873735,0.6146185,0.387478159963,98.6084217471,43.6708280732
P12,0,60,0.147554267328,-0.00148600099723,0.188870666583,-0.00460560513976,0.559764960452,0.667027881952,163.686551645,150.43614834
P12,0,40,0.028439251552,-0.0019640480764,0.115359053045,0.00183777997623,0.700639472973,0.656701097889,120.734773345,77.7797143247
P12,0,40,0.0548225275,0.00288338563043,0.145604287717,0.00385402984969,0.532149215686,0.354124715849,141.261066708,141.510758223
P12,0,60,0.0101993065504,-0.000479633114286,0.507221240494,-0.00690781314998,0.586447,0.380220144037,106.154439896,79.6964947582
P12,0,40,0.0246074252458,0.00288079959551,0.0741755164346,0.00452941921214,0.540935425532,0.359059957373,116.007730674,90.3319442417
