participant,answer,confidence,std_temp,slope_temp,std_pupil,slope_pupil
P5,0,40,0.0236899474585,0.00304224261278,0.0727815202421,0.00726228534196
P5,0,40,0.0112627705295,-0.000914304217099,0.0779443247797,-0.00013418032159
P5,0,40,0.0182321069057,-0.00168437961574,0.108598091117,0.000401577489341
P5,0,60,0.0471849650574,-0.00204297314573,0.109382357612,0.00131319274674
P5,0,60,0.0092491981279,0.00092883578719,0.127914056269,0.00183005753746
P5,0,60,nan,nan,0.144293954552,0.00170342512539
P8,0,0,0.148710472508,-0.00754501857717,0.163559467652,-0.00805223428233
P8,0,40,0.0862153494927,-0.00527021672856,0.109668143277,-0.00185718370466
P8,0,0,0.0523560922912,-0.00168668699667,0.110120988323,0.00198656831236
P8,0,60,0.01257477634,0.00302043880079,0.120696299982,-0.00722225476061
P8,0,60,0.0100833263057,0.00432596473676,0.0757803762885,-0.00420875812968
P8,0,80,0.0556183666203,-0.00231760379633,0.193602808379,-0.00190593159227
P8,0,60,0.0233303865972,-0.000725519120325,0.128187595642,0.000802089292101
P8,0,80,nan,nan,0.211229567582,0.0174136200261
P9,0,60,0.0651187015032,-0.00285891862568,0.12806922835,-0.00526832617157
P9,0,40,0.0303519860233,0.00219046493624,0.160314107895,0.00100255737685
P9,0,40,0.0550267285778,0.0034947489476,0.0924741726712,0.000304299834918
P9,0,60,0.00623307877034,0.000482388789386,0.106359105372,-0.00344848260085
P9,0,60,0.00604519467827,-0.00127231003587,0.0372020475138,-0.00507614283428
P9,1,80,0.00308688984074,0.000569834809245,0.10343532487,0.000257755278715
P9,0,60,0.013959683754,-0.00159088797777,0.112684064347,-0.00625195774815
P9,0,60,nan,nan,0.116085454672,0.0118834214476
P13,0,60,0.166647254918,-0.00529865185031,0.105044732431,-0.00196095167728
P13,0,60,0.0806426110061,0.00183576653193,0.150901764266,-0.00203292785746
P13,0,80,0.18259483104,0.00599468151375,0.100676536493,-0.000301226422562
P13,0,80,0.0428190081111,-0.000280786414452,0.100275703056,-0.000993113469275
P13,0,80,0.00785811682275,-0.00169932507108,0.0888133877184,0.00701542079521
P13,0,80,0.0216168899372,0.00107932921746,0.116256909394,-0.00333560698383
P13,1,80,0.0372679321325,-0.00166669466154,0.101205875921,0.00508008532837
P13,0,60,nan,nan,0.147572861804,0.0083061966457
P14,0,40,0.0380932902941,0.00188590965474,0.121146367759,-0.013278907484
P14,0,40,0.024338132109,0.00277433131324,0.0807159201232,-0.00391278191672
P14,0,20,0.0698468512794,0.00210641249145,0.139243151468,0.00131108128736
P14,0,20,0.0361872505576,0.000917925283373,0.123985734069,0.00416658207231
P14,0,20,0.020803476297,0.00121807891122,0.113974117436,0.00129981978113
P14,0,40,0.0222180567434,0.000498924012862,0.141538709727,-0.00127318900378
P14,1,40,nan,nan,0.0983154215492,-0.00428343820923
P14,0,60,nan,nan,0.0804997612075,0.0160874630581
